RandD,bengaluru amazon is looking to hire over   people mostly software professionals in india the hires will cater largely to research and development for the company s divisions including amazon com amazon in the devices business and the cloud computing division amazon web services aws the company told toi the hiring was limited only by the availability of talent in the required technologies and it was looking to hire as many as possible amazon s website lists   open positions in india on its careers page as of wednesday evening it has around   people on its rolls in the country india is currently the second largest workforce centre for amazon after the us globally it has   lakh employees the numbers are mind boggling we re looking at a fully functional tech organisation in india and are hiring varied skills across several job families india is a big focus area for talent dale vaz director of software development at amazon india said it is looking for talent in tech nology spheres like research scientists data analytics natural language processing artificial intelligence machine learning and android developers aws is looking to hire  people in india among the open positions  are in bengaluru  in hyderabad and  in chennai we process a lot of data and are always looking for data processing and profiling engineers dale vaz said the bengaluru centre is the largest for amazon in india the chennai centre focuses on devices like kindle and fire the recruitment number for bengaluru alone is higher than for any other centre outside of the us including london luxembourg where the global cto of consumer business sits dublin berlin and tokyo terry hanold vice president of international consumer technology in amazon told toi the talent and excitement he saw in india was similar to that in silicon valley   years ago while app development is a focus globally india a mo bile first market focuses more on mobile and app we are always looking for android app developers who can solve india specific problems like the fragmentation of the an droid universe with smaller capacity handsets and the poor connectivity and speed in india we ve seen the india team reinventing the amazon app experience vaz said
RandD,singapore investments by small and medium sized enterprises in research and development r d a linchpin of singapore s economy have picked up said finance minister heng swee keat but future economic growth requires companies to explore beyond their sectors as the real world is messy and does not fit neatly into one specific discipline he said at the opening of the second annual leaders in science forum held at the biopolis research hub in buona vista on wednesday aug  mr heng revealed that r d investments by smes grew  per cent yearly from  to  this is more than double the  per cent yearly rate in the previous five year period overall r d investments by businesses grew  per cent yearly from  to  topping  billion in  this is very encouraging today singapore is regarded well as a vibrant international research hub he said it is believed that while r d activities may not have immediate payoffs they spawn new businesses entrepreneurs and ecosystems that are key to creating a competitive edge for singapore one example is  year old singapore based addvalue technologies that invested in satellite communications technologies and turned its consumer electronics products into smart devices the company then went global and now has satellite services providers inmarsat thuraya singtel and satcom global among others as customers to sustain the momentum the singapore government renewed its five year  billion research fund in january last year  the sixth research innovation and enterprise rie road map  per cent of the nation s gross domestic product will see r d investments in sustainable energy artificial intelligence and advanced manufacturing among other areas through  and open innovation is the way forward as set out by the committee on the future economy tasked to chart singapore s blueprint for economic growth this means tapping the expertise of overseas entrepreneurs or the many research institutions here one example is the opening of block  jakarta last month july to allow businesses from singapore and indonesia to explore r d and collaboration opportunities the   sq m facility in the kuningan district is a tie up between the national university of singapore s entrepreneurial arm nus enterprise and indonesia s salim group conglomerate it is based on singapore s block  in ayer rajah crescent the heart of singapore s entrepreneurship scene and home to a community of start ups venture capitalists and incubators we must continue to forge closer partnerships and strengthen our innovation ecosystem to keep singapore competitive and relevant to the world said mr heng and if innovation is about new combinations and new possibilities even cross disciplinary or inter disciplinary work may not be adequate we will need a sense of wonder and curiosity mr heng added
RandD,coimbatore production orders for missiles of the defence research and development laboratory drdl hyderabad will grow four times to lakh crore by  its director m s r prasad said here on thursday one of drdl s signature products is the akash missile system the investment for research on akash was rs crore today we have production orders worth rs  crore prasad said after inaugurating the kumaraguru centre for industrial research innovation kciri at the kumaraguru college of technology india is all set to become a superpower in  years the scientist said india is growing rapidly by  india will be the most populated country the country should focus on science and research for industrial development he said prasad said it is essential for industries to invest at least  of revenue in research and development every industry cannot afford to have its own r d facility hence they outsource their r d such innovation centres will come into play in helping industry resolve their problems he said however india invests only   of its expenditure in research prasad said the idea has always been to spend  every year but we have never been able to spend more than   of this one fourth investment comes from the industry industries in most developing nations bear  research expenses smaller countries like israel are spending  every year on r d he said the scientist congratulated the kct management for setting up a centre of industrial research and innovation kciri will take up industrial problems and carry out research to address the issues kct should network with retired scientists of the defence research and development organization and the indian space research organisation and utilise their expertise in solving industrial problems he suggested prasad said kciri should focus on ensuring good quality products the centre should also focus on value engineering it is essential to bring down the cost of the products he said
RandD,video courtesy of the house committee on science space and technology you certainly know how to message research that s how congressman lamar smith r texas reacted to impassioned testimony by venkatesh venky narayanamurti the former dean of the harvard john a paulson school of engineering and applied sciences seas at a recent hearing of the house science space and technology committee narayanamurti urged the committee members to endorse policies that break down the boundaries between basic and applied research and stressed the value of government investment in research and development especially in the energy sector government has an important role in fostering energy innovation done in the proper way which couples the desire to understand with the desire to create new things said narayanamurti the benjamin peirce research professor of technology and public policy at seas in his testimony i believe we are at a critical juncture and our choices today will have far reaching consequences i cannot overemphasize the importance of government support of energy innovation across the basic applied divide narayanamurti was one of four scientists on a panel called energy innovation letting technology lead which explored the impact of federally funded basic and early stage research on technology innovation and regulatory hurdles that limit the success of innovative technologies narayanamurti led a full throated defense of the advanced research projects agency for energy arpa e and similar government programs that fund high risk high reward research that is not supported by private sector investments in its  budget proposal the white house called for eliminating arpa e entirely arpa e is a very important innovation narayanamurti told the committee there should be bipartisan support technology does not know political boundaries arpa e has funded several projects at seas including flow battery research led by michael aziz gene and tracy sykes professor of materials and energy and roy gorden the thomas dudley cabot professor of chemistry and professor of materials science joanna aizenberg amy smith berylson professor of materials science at seas also received arpa e funding for her research into ultra slick coatings public investment in risky uncertain paradigm transforming research is necessary in order to create new technologies which can grow into entirely new industries narayanamurti wrote in his written testimony after the hearing narayanamurti said he felt optimistic that congress will heed the call support for scientific research and development has always been bipartisan he said i think congress will be reasonable we just have to appeal to that reason excerpts of venkatesh venky narayanamurti s written testimony
RandD,by raj mukherji troy singleton and nariman farvardin one need only to look at the top performers in the s p  amazon apple google parent alphabet and facebook to confirm an indisputable fact about our modern economy technological innovation is the key driver of economic growth policymakers who ignore technology s disruptive impact on markets industries and jobs do so at their constituents peril think amazon s impact on the retail industry forward looking policymakers as well as industry and higher education leaders must work together to develop and execute strategies that will enable innovation translate laboratory innovations into start up businesses and create a nurturing ecosystem that will to allow these businesses to grow thrive and produce jobs and wealth for local economies a mckinsey co report affirms new jersey s economic strengths strong positions in knowledge intensive industries a highly educated labor force and an advantageous location however new jersey lags behind the rest of the united states in productivity employment growth and the percentage of start ups that grow and succeed the percentage of new jersey born start up companies that scale up to larger businesses is less than half the national average  percent of companies with at least  employees are less than  years old compared with  percent across the united states these young fast growing firms create most of the jobs in the u s a focused effort is urgently needed to couple university research with industry partners with the specific goal of spawning and nurturing early stage companies that have great potential to contribute to new jersey s economy the time has come for the state to invest in research and development with an increased focus on industry university partnerships for technology based companies for  years new jersey benefited from the work of the commission on science and technology the commission s work promoted industry university collaborations with the goal of accelerating commercialization of new technologies and supporting the emergence of science and technology based businesses to create economic opportunity and job growth in   grants and   million in commission funds were leveraged to generate an additional   million in private and federal funds and led to the creation or retention of over   high paying science and technology jobs in the state awards included dental bone grafts cardiac monitoring devices and novel methods of drug discovery and delivery among other life changing innovations unfortunately due to severe budget restrictions the new jersey commission on science and technology was defunded with the passage of the fiscal year  state budget the strategic importance of initiatives such as these to revitalizing new jersey s economy cannot be overstated assembly bill a which the two of us assemblymen sponsored would establish the edison innovation science and technology fund which would restore a key priority of the commission industry university partnerships whose products have significant potential for commercialization and the creation or expansion of technology based businesses the very businesses that are leading across all sectors of the economy in creating market value and jobs these grants would strengthen industry university research collaborations and create the increased potential for attracting federal funding and private investment seed funding would allow new businesses to blossom while supporting research and innovation across the state attracting talent and addressing significant workforce needs now is the time to reaffirm new jersey s commitment to science and technology a crucial element of a statewide strategy to reposition our economy in order to succeed in a global high tech economy the proposed edison innovation fund will be an important tool in this strategy as concerned new jersey residents we look forward to seeing the impact that investments in science technology and innovation will have on the economic vitality of our state and on the lives of fellow new jerseyans assemblyman raj mukherji d hudson represents new jersey s rd legislative district assemblyman troy singleton d burlington represents new jersey s th legislative district dr nariman farvardin is the president of stevens institute of technology in hoboken bookmark nj com opinion follow on twitter nj_opinion and find nj com opinion on facebook
Executive Movement,the resignation of vishal sikka as chief executive officer of india s bellwether technology company masks the rot in india s once feted export sector while sikka cited heightened acrimony with a cohort of founders at infosys ltd the malaise is much deeper and threatens to become a faultline for asia s no  economy software services exports are experiencing their longest slump in seven years which could blow the current account deficit to the widest since  and pressure the rupee policy makers are also bracing for a hit where it hurts the most jobs vishal sikka photographer dhiraj singh bloomberg indian service companies gained scale over the last decade as the disrupters creating the modern offshoring industry but they are now the incumbents challenged by a slew of specialized and niche start ups bred in this new environment arvind subramanian prime minister narendra modi s top economic adviser said in his economic survey published this month growing anti globalization tendencies in the u s during and after elections and the brexit referendum also threaten indian jobs he said employment was modi s key pledge when he swept to power in  and will probably emerge as a top issue in  elections india s tech industry is the country s largest private sector employer and indian engineers had become ubiquitous to the point of parody in tv shows and books over the past decade they are also crucial dollar earners with services exports helping offset a goods trade deficit but part of their appeal was that they came cheap making them the target of public anger as wages plunged in developed economies india s economic survey cited president donald trump s buy american hire american executive order and the u k s increase in visa costs as factors limiting the free movement of indian engineers moreover automation threatens  percent of jobs in india according to a  world bank report executive search firm head hunters india estimates that   to   technology jobs will be lost in the country each year through  and newspapers are rife with reports of mass layoffs in the sector hiring momentum remains slow nasscom which represents india s  billion information technology and business process management industry said in its review for the april june quarter however incremental revenue was the strongest in four years and global activity is recovering it said the recovery won t be strong enough to meet india s needs teresa john a mumbai based economist at brokerage nirmal bang predicts the current account deficit will balloon to   percent of gross domestic product in the year through march  potentially weakening the rupee the invisibles surplus which has traditionally offset india s trade deficit is facing structural headwinds on account of the decline in software exports as well as remittances from oil dependent gulf countries she said read conflict with infosys founders prompts ceo sikka to quit exclusive insights on technology around the world get fully charged from bloomberg technology infosys is india s second largest software exporter started in  by seven engineers it s now a company with a net profit of  billion and revenue of over  billion this year and almost   employees mainly based in bengaluru india s silicon valley the company has been trying to haul itself out of a growth slowdown through job cuts and investment into news areas such as data analytics sikka had created a new business line that accounts for  percent of infosys s incremental revenues over the past two financial years while traditional businesses grew just  percent said rahul jain an analyst at emkay global financial services ltd india s net services exports were   billion dollars in june little changed from the previous month services exports have remained stagnant since early  said dhananjay sinha an economist at emkay we maintain that india s current account deficit will widen
Executive Movement,at t nyse t has been the subject of some interesting speculation of late particularly with what is going to happen with the merger with time warner twx but we saw today that the wall street journal has just reported a key milestone has been reached which solidifies our prior thesis that this thing is a done deal before discussing the new developments we need to remind you why we felt it was done it had nothing to do with the fact that there were few cases to be made for monopolization or unfair advantages but rather had to do with moves made by management what do we mean recall at t made a bunch of executive changes and in addition took moves to finalize the financing of this deal the real first sign was the shaking up management second was this year s largest corporate bond sale both of these moves suggest that this merger is a done deal it was in this set of news that john stankey s name first garnered wide attention who recently told us cnn was here to stay if the merger happens effective august st chairman and ceo randall stephenson announced three major executive changes first lori lee who was global marketing officer took over leadership of at t international the second move was the appointment of john stankey to take on the lead of the time warner integration team and in this role he is working with time warner ceo jeff bewkes to plan for a transition of mr bewkes to assume lead of at t s new media company post merger you simply do not do these types of things if you do not know a merger is coming finally john donovan became ceo of the new at t communications segment which is comprised of at t s business solutions entertainment group and technology group the takeaway being the internal movement and creation of new segments assures us the deal is all but safe as for the money the company took on a serious on boarding of new debt while the merger is costing in the ballpark of  billion at t is raising about   billion through a seven tier bond offering the sale had bond maturities ranging between   and  years this is a serious amount of cash being raised for an already debt laden company so as rumors continue to swirl we stick to facts that said the wall street journal has in its article informed us that the talks between the government and the companies is now in the advanced stages what is holding back finalization is the fact that there still isn t a confirmed antitrust chief at the justice department that would ultimately sign off of course the person up for the role is makan delrahim however the united states senate is officially adjourned until after labor day so we still have at least two weeks about until there is more clarity you may be asking why the government even needs to formally review further if it is obvious there are not antitrust issues the answer is that they have to examine each and every issue that could reduce competition most notably potential impact of content makers competing with time warner as well as who is in control of customer data and how they are safeguarded we view these issues as minimal and stand by our prediction that this deal could close by the end of q with this news of advanced stage talks occurring courtesy of the wsj piece we feel confident about this move we have already covered the fiscal situations of the company in great detail and have discussed what each brings to the table ultimately the one major risk factor we must watch is the debt let us be clear the huge debt burden is the number one risk to the company but given the moves to raise new amounts of capital and the executive moves made we can all but be certain that this is a done deal  is a big year looking ahead independent of the merger at t will see revenue growth in the low single digits with adjusted earnings growth in the mid single digits as for cash flows the company has maintained its guidance and thus that means it is aiming for  billion for the year and a dividend payout ratio of  time warner is outperforming in its own right and once fully incorporated into the at t umbrella we can return to focusing on innovation once again and it has been quietly continuing to do so as we have previously discussed as well as dividend growth we maintain a long term buy quad  capital has been a leading contributor with seeking alpha since early  if you like the material and want to see more scroll to the top of the article and hit follow quad  capital also writes a lot of breaking articles that are time sensitive if you would like to be among the first to be updated be sure to check the box for email alerts under follow disclosure i am we are long t i wrote this article myself and it expresses my own opinions i am not receiving compensation for it other than from seeking alpha i have no business relationship with any company whose stock is mentioned in this article
Executive Movement,logistics and supply chain company linfox has appointed terry quinnell as president retail a retail supply chain professional with  years experience in the logistics industry quinnell began his career as a linfox driver in  where he was quickly appointed linfox supervisor for coca cola in victoria in  quinnell left linfox to join dtm business logistics where he held several senior leadership positions including state manager and ceo he returned to linfox as general manager in  and has managed some of linfox s largest customers as vice president retail and spent nine years as general manager woolworths quinnell recently led the development and implementation of linfox s new subcontractor management system foxlink as president retail quinnell will be responsible for managing warehousing and distribution for leading retailers in australia terry is an accomplished leader with a proven track record in people management and customer relationships said ceo linfox australia and new zealand annette carey linfox has ungergone a major management reshuffle since the start of july
Executive Movement,bw businessworld kaher kazem who will become president and ceo of general motors korea thanked his leadership team and general motors india employees for their professionalism and focus on implementing plans to turn around the business general motors india on thursday  august has announced that president and managing director kaher kazem will hand over the reins of the company to chief financial officer sanjiv gupta from september  sanjiv gupta is an experienced general motors leader who has been a driving force behind our strategy sanjiv will continue to lead our plan to achieve better financial performance in india said general motors executive vice president and president of general motors international stefan jacoby gupta said it is an honor to be leading general motors india at such an important time for the business i have the benefit of inheriting a strong leadership team we are all aligned on turning around the financial performance and delivering an orderly business transformation that supports our customers our employees and our partners gupta will combine his role as general motors india president and managing director with his finance leadership responsibilities gupta joined general motors in  working in critical roles in vssm auto financing business planning corporate finance and treasury and financial planning analysis in the us and canada in february  he was promoted to director north america financial planning and analysis and in september  was appointed director us sales operations finance gupta joined general motors india in may  kazem who will become president and ceo of general motors korea thanked his leadership team and general motors india employees for their professionalism and focus on implementing plans to turn around the business general motors india s transformation is on track he said the overwhelming majority of dealers have accepted our transition package we have begun exports of chevrolet beat sedans to latin america and our consolidation of manufacturing operations continues this is the right time to hand over responsibility to sanjiv who will continue to lead the business transformation
Executive Movement,yet again flipkart has faced a senior level exit with its vice president of engineering sharat singh parting ways with the ecommerce major thus upping the number of senior level exits by one singh who had joined flipkart in november has quit just after a short six month stint and has joined us multinational adobe as vice president of engineering an alumnus of iit delhi and stern school of business singh had joined flipkart from online travel agency makemytrip where he was the chief technology officer singh s departure follows a string of exits at flipkart in recent months most recently chief product officer punit soni quit the company in just over a year mukesh bansal head of marketplace and a board member and chief business officer ankit nagori resigned in february barely a month after the e commerce giant changed the roles of its two co founders binny bansal who was the coo took over as its ceo while sachin bansal who was the ceo became executive chairman among other senior level management changes mekin maheshwari flipkart s chief people officer and part of its original team stepped down from his full time role to take up an advisory role in september last year in august ravi vora who was the ceo of flipkart s strategic brands group moved on from the company prior to that amod malviya chief technology officer of flipkart quit his full time position to be a part of the company s advisory board sameer nigam who headed the company s engineering team prior to singh had quit in july last year several senior executives have left top ecommerce marketplace flipkart in recent months to start their own ventures including former commerce and advertising business head mukesh bansal former chief business officer ankit nagori former senior director for retail manish kumar and former chief people officer mekin maheshwari who is on a journey to impact education in india
